symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TSLA,2016-01-04 00:00:00+00:00,14.894,15.4253333333,14.6,15.3813333333,102407190,223.41,0.0,231.38,219.0,230.72,1.0,6827146
TSLA,2016-01-05 00:00:00+00:00,14.8953333333,15.126,14.6666666667,15.0906666667,47801280,223.43,0.0,226.89,220.0,226.36,1.0,3186752
TSLA,2016-01-06 00:00:00+00:00,14.6026666667,14.67,14.3986666667,14.6666666667,56686920,219.04,0.0,220.05,215.98,220.0,1.0,3779128
TSLA,2016-01-07 00:00:00+00:00,14.3766666667,14.5626666667,14.2446666667,14.2793333333,53313765,215.65,0.0,218.44,213.67,214.19,1.0,3554251
TSLA,2016-01-08 00:00:00+00:00,14.0666666667,14.696,14.0513333333,14.524,54420870,211.0,0.0,220.44,210.77,217.86,1.0,3628058
TSLA,2016-01-11 00:00:00+00:00,13.8566666667,14.2966666667,13.5333333333,14.2673333333,61371330,207.85,0.0,214.45,203.0,214.01,1.0,4091422
TSLA,2016-01-12 00:00:00+00:00,13.998,14.2493,13.6873333333,14.1066666667,46378755,209.97,0.0,213.7395,205.31,211.6,1.0,3091917
TSLA,2016-01-13 00:00:00+00:00,13.354,14.1766666667,13.3333333333,14.134,61896240,200.31,0.0,212.65,200.0,212.01,1.0,4126416
TSLA,2016-01-14 00:00:00+00:00,13.7453333333,14.0,12.892,13.4806666667,97361115,206.18,0.0,210.0,193.38,202.21,1.0,6490741
TSLA,2016-01-15 00:00:00+00:00,13.666,13.6713333333,13.15,13.2646666667,83679600,204.99,0.0,205.07,197.25,198.97,1.0,5578640
TSLA,2016-01-19 00:00:00+00:00,13.648,14.0313333333,13.3853333333,13.914,60580140,204.72,0.0,210.47,200.78,208.71,1.0,4038676
TSLA,2016-01-20 00:00:00+00:00,13.2466666667,13.4186666667,12.75,13.2933333333,87579120,198.7,0.0,201.28,191.25,199.4,1.0,5838608
TSLA,2016-01-21 00:00:00+00:00,13.3313333333,13.5486666667,13.0013333333,13.4366666667,47492385,199.97,0.0,203.23,195.02,201.55,1.0,3166159
TSLA,2016-01-22 00:00:00+00:00,13.5033333333,13.7,13.2686666667,13.6533666667,46860825,202.55,0.0,205.5,199.03,204.8005,1.0,3124055
TSLA,2016-01-25 00:00:00+00:00,13.092,13.5713333333,13.0586666667,13.3373333333,40481085,196.38,0.0,203.57,195.88,200.06,1.0,2698739
